Title,Artist,love,breakup,party,ambition,nostalgia,heartbreak,friendship,betrayal,happiness,sadness,hope,anger,revenge,loneliness,celebration,motivation,reflection,peace
Illusion,Dua Lipa,0.08393859,0.0032186566,0.011485337,0.13802478,0.23032136,0.23594135,0.2970699,,,,,,,,,,,
Brother Stone,Don Toliver Featuring Kodak Black,0.42158562,0.24462205,0.060195014,0.021700261,0.11176858,0.10173255,0.038395893,,,,,,,,,,,
Nasty,Tinashe,0.3228112,0.363716,0.047429603,0.019827671,0.004095918,0.23632704,0.0057925233,,,,,,,,,,,
We Ride,Bryan Martin,0.05384884,0.012235301,0.015033388,0.080498345,0.37789628,0.30695924,0.15352859,,,,,,,,,,,
Down Bad,Taylor Swift,0.9458221,0.0016132342,0.015289124,0.0061167525,0.009935379,0.010643234,0.010580217,,,,,,,,,,,
Think I'm In Love With You,Chris Stapleton,0.0038976746,0.00044786767,0.03190218,0.015043716,0.020931106,0.007176267,0.9206012,,,,,,,,,,,
Wind Up Missin' You,Tucker Wetmore,0.019357149,0.006719154,0.0075668306,0.038818154,0.1511898,0.6905933,0.08575561,,,,,,,,,,,
Wine Into Whiskey,Tucker Wetmore,0.032343477,0.0037389363,0.0017706251,0.05456529,0.039353166,0.83856136,0.02966724,,,,,,,,,,,
Close To You,Gracie Abrams,0.04220253,0.00092041015,0.013420131,0.0053738863,0.013735688,0.0146359755,0.9097114,,,,,,,,,,,
L'amour De Ma Vie,Billie Eilish,0.001154897,0.00084469176,0.0008712584,0.0036128708,0.0043526273,0.98326844,0.0058952263,,,,,,,,,,,
The Thin Grey Line,$uicideboy$,0.06466062,0.0023664264,0.18893033,0.18758008,0.2447429,0.17504022,0.13667937,,,,,,,,,,,
Scared To Start,Michael Marcagi,0.0046082507,0.0004055984,0.9838753,0.0011932699,0.0037912999,0.0039663063,0.0021601033,,,,,,,,,,,
Bandit,Don Toliver,0.409227,0.016140325,0.026124483,0.10368021,0.16721904,0.10303119,0.17457771,,,,,,,,,,,
The Boy Is Mine,Ariana Grande,0.12243363,0.0028344097,0.031156586,0.15301497,0.28489056,0.30242297,0.10324682,,,,,,,,,,,
Halfway To Hell,Jelly Roll,0.8963568,0.0015919168,0.02711559,0.010555753,0.010008808,0.03844954,0.015921552,,,,,,,,,,,
The Door,Teddy Swims,0.027519954,0.0022432003,0.0060338997,0.19520392,0.07520016,0.3718979,0.32190093,,,,,,,,,,,
